
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.5)

2025-11-19T17:56:48.761Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/VistoriaFotoRepository.class]
2025-11-19T17:56:48.762Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/PartnerRepository.class]
2025-11-19T17:56:48.762Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/EventDescriptionHistoryRepository.class]
2025-11-19T17:56:48.762Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/VistoriaRepository.class]
2025-11-19T17:56:48.763Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/diagnostics/UserAccountDiagnostics.class]
2025-11-19T17:56:48.773Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/ReportController.class]
2025-11-19T17:56:48.774Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/UserVehicleController.class]
2025-11-19T17:56:48.779Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/VehicleController.class]
2025-11-19T17:56:48.780Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/VistoriaController.class]
2025-11-19T17:56:48.781Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/PaymentController.class]
2025-11-19T17:56:48.790Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/LegalProcessController.class]
2025-11-19T17:56:48.790Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/HomeController.class]
2025-11-19T17:56:48.791Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/UserAccountDiagnosticController.class]
2025-11-19T17:56:48.791Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/AgreementController.class]
2025-11-19T17:56:48.792Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/ComunicadoController.class]
2025-11-19T17:56:48.793Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/DashboardController.class]
2025-11-19T17:56:48.793Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/AdminUserController.class]
2025-11-19T17:56:48.794Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/DemandController.class]
2025-11-19T17:56:48.794Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/UserPlanController.class]
2025-11-19T17:56:48.796Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/EventController.class]
2025-11-19T17:56:48.796Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/PartnerController.class]
2025-11-19T17:56:48.797Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/UserCommunicationController.class]
2025-11-19T17:56:48.798Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/NotificationController.class]
2025-11-19T17:56:48.798Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/JuridicoController.class]
2025-11-19T17:56:48.799Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/AuthController.class]
2025-11-19T17:56:48.800Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/controller/FinanceiroController.class]
2025-11-19T17:56:49.686Z  INFO 4419 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-11-19T17:56:49.707Z DEBUG 4419 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2025-11-19T17:56:49.726Z DEBUG 4419 --- [           main] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.necsus.necsusspring'. Automatic @Repository and @Entity scanning is enabled.
2025-11-19T17:56:49.728Z DEBUG 4419 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.necsus.necsusspring.
2025-11-19T17:56:49.770Z DEBUG 4419 --- [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/BankSlipRepository.class]
2025-11-19T17:56:49.771Z DEBUG 4419 --- [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/PriceGroupRepository.class]
2025-11-19T17:56:49.771Z DEBUG 4419 --- [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/VehicleRepository.class]
2025-11-19T17:56:49.771Z DEBUG 4419 --- [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/NotificationRepository.class]
2025-11-19T17:56:49.771Z DEBUG 4419 --- [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/SlipsBriefingRepository.class]
2025-11-19T17:56:49.771Z DEBUG 4419 --- [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/DemandRepository.class]
2025-11-19T17:56:49.772Z DEBUG 4419 --- [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/AdhesionRepository.class]
2025-11-19T17:56:49.772Z DEBUG 4419 --- [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/PriceRepository.class]
2025-11-19T17:56:49.772Z DEBUG 4419 --- [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/AgreementRepository.class]
2025-11-19T17:56:49.773Z DEBUG 4419 --- [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/EventRepository.class]
